# Region type : patch heater_to_fins
# Faces  :    56
# Area   :    1.000000e-04
# Time        	areaAverage(T)
0             	2.969000e+02
1             	2.969000e+02
2             	2.991947e+02
3             	3.014559e+02
4             	3.037230e+02
5             	3.059853e+02
6             	3.082378e+02
7             	3.104779e+02
8             	3.127039e+02
9             	3.149153e+02
10            	3.171115e+02
11            	3.192926e+02
12            	3.214584e+02
13            	3.236089e+02
14            	3.257443e+02
15            	3.278646e+02
16            	3.299700e+02
17            	3.320606e+02
18            	3.341365e+02
19            	3.361979e+02
20            	3.382449e+02
21            	3.402777e+02
22            	3.422963e+02
23            	3.443008e+02
24            	3.462915e+02
25            	3.482683e+02
26            	3.502315e+02
27            	3.521811e+02
28            	3.541173e+02
29            	3.560402e+02
30            	3.579498e+02
31            	3.598461e+02
32            	3.617290e+02
33            	3.635984e+02
34            	3.654544e+02
35            	3.672967e+02
36            	3.691257e+02
37            	3.709412e+02
38            	3.727433e+02
39            	3.745320e+02
40            	3.763074e+02
41            	3.780697e+02
42            	3.798189e+02
43            	3.815551e+02
44            	3.832784e+02
45            	3.849890e+02
46            	3.866869e+02
47            	3.883722e+02
48            	3.900450e+02
49            	3.917054e+02
50            	3.933536e+02
51            	3.949896e+02
52            	3.966135e+02
53            	3.982254e+02
54            	3.998254e+02
55            	4.014136e+02
56            	4.029899e+02
57            	4.045546e+02
58            	4.061078e+02
59            	4.076494e+02
60            	4.091796e+02
61            	4.106985e+02
62            	4.122062e+02
63            	4.137028e+02
64            	4.151883e+02
65            	4.166629e+02
66            	4.181266e+02
67            	4.195795e+02
68            	4.210217e+02
69            	4.224532e+02
70            	4.238742e+02
71            	4.252847e+02
72            	4.266848e+02
73            	4.280747e+02
74            	4.294543e+02
75            	4.308237e+02
76            	4.321831e+02
77            	4.335324e+02
78            	4.348718e+02
79            	4.362013e+02
80            	4.375210e+02
81            	4.388310e+02
82            	4.401313e+02
83            	4.414220e+02
84            	4.427032e+02
85            	4.439750e+02
86            	4.452374e+02
87            	4.464904e+02
88            	4.477342e+02
89            	4.489688e+02
90            	4.501943e+02
91            	4.514108e+02
92            	4.526183e+02
93            	4.538169e+02
94            	4.550066e+02
95            	4.561875e+02
96            	4.573598e+02
97            	4.585233e+02
98            	4.596783e+02
99            	4.608248e+02
100           	4.619628e+02
101           	4.630924e+02
102           	4.642136e+02
103           	4.653265e+02
104           	4.664312e+02
105           	4.675277e+02
106           	4.686161e+02
107           	4.696964e+02
108           	4.707687e+02
109           	4.718331e+02
110           	4.728895e+02
111           	4.739382e+02
112           	4.749790e+02
113           	4.760121e+02
114           	4.770375e+02
115           	4.780553e+02
116           	4.790656e+02
117           	4.800683e+02
118           	4.810636e+02
119           	4.820516e+02
120           	4.830321e+02
121           	4.840054e+02
122           	4.849715e+02
