# Region      : all 
# Cells       : 2313
# Volume      : 3.331469e-06
# Time        	volAverage(T)
0             	2.969000e+02
1             	2.969000e+02
2             	2.990931e+02
3             	3.012890e+02
4             	3.034690e+02
5             	3.056379e+02
6             	3.077927e+02
7             	3.099320e+02
8             	3.120559e+02
9             	3.141645e+02
10            	3.162579e+02
11            	3.183362e+02
12            	3.203997e+02
13            	3.224485e+02
14            	3.244828e+02
15            	3.265029e+02
16            	3.285087e+02
17            	3.305005e+02
18            	3.324784e+02
19            	3.344425e+02
20            	3.363930e+02
21            	3.383301e+02
22            	3.402538e+02
23            	3.421643e+02
24            	3.440617e+02
25            	3.459459e+02
26            	3.478173e+02
27            	3.496759e+02
28            	3.515218e+02
29            	3.533552e+02
30            	3.551761e+02
31            	3.569842e+02
32            	3.587794e+02
33            	3.605613e+02
34            	3.623297e+02
35            	3.640845e+02
36            	3.658260e+02
37            	3.675543e+02
38            	3.692698e+02
39            	3.709723e+02
40            	3.726622e+02
41            	3.743396e+02
42            	3.760047e+02
43            	3.776576e+02
44            	3.792984e+02
45            	3.809268e+02
46            	3.825431e+02
47            	3.841473e+02
48            	3.857396e+02
49            	3.873202e+02
50            	3.888892e+02
51            	3.904467e+02
52            	3.919927e+02
53            	3.935275e+02
54            	3.950510e+02
55            	3.965635e+02
56            	3.980648e+02
57            	3.995552e+02
58            	4.010347e+02
59            	4.025034e+02
60            	4.039613e+02
61            	4.054087e+02
62            	4.068455e+02
63            	4.082718e+02
64            	4.096876e+02
65            	4.110930e+02
66            	4.124880e+02
67            	4.138729e+02
68            	4.152477e+02
69            	4.166126e+02
70            	4.179676e+02
71            	4.193125e+02
72            	4.206476e+02
73            	4.219729e+02
74            	4.232884e+02
75            	4.245942e+02
76            	4.258905e+02
77            	4.271773e+02
78            	4.284547e+02
79            	4.297228e+02
80            	4.309816e+02
81            	4.322312e+02
82            	4.334717e+02
83            	4.347032e+02
84            	4.359259e+02
85            	4.371397e+02
86            	4.383447e+02
87            	4.395408e+02
88            	4.407281e+02
89            	4.419066e+02
90            	4.430765e+02
91            	4.442378e+02
92            	4.453906e+02
93            	4.465350e+02
94            	4.476709e+02
95            	4.487985e+02
96            	4.499176e+02
97            	4.510285e+02
98            	4.521312e+02
99            	4.532258e+02
100           	4.543124e+02
101           	4.553909e+02
102           	4.564615e+02
103           	4.575243e+02
104           	4.585793e+02
105           	4.596265e+02
106           	4.606661e+02
107           	4.616980e+02
108           	4.627225e+02
109           	4.637394e+02
110           	4.647488e+02
111           	4.657509e+02
112           	4.667457e+02
113           	4.677331e+02
114           	4.687133e+02
115           	4.696863e+02
116           	4.706520e+02
117           	4.716106e+02
118           	4.725620e+02
119           	4.735063e+02
120           	4.744435e+02
121           	4.753736e+02
122           	4.762967e+02
