# Region type : patch heater_to_fins
# Faces  :    56
# Area   :    1.000000e-04
# Time        	areaAverage(T)
0             	2.969000e+02
1             	2.969000e+02
2             	2.992568e+02
3             	3.015884e+02
4             	3.039195e+02
5             	3.062466e+02
6             	3.085624e+02
7             	3.108646e+02
8             	3.131519e+02
9             	3.154235e+02
10            	3.176793e+02
11            	3.199190e+02
12            	3.221427e+02
13            	3.243503e+02
14            	3.265420e+02
15            	3.287180e+02
16            	3.308783e+02
17            	3.330231e+02
18            	3.351525e+02
19            	3.372668e+02
20            	3.393659e+02
21            	3.414500e+02
22            	3.435193e+02
23            	3.455738e+02
24            	3.476137e+02
25            	3.496391e+02
26            	3.516501e+02
27            	3.536469e+02
28            	3.556296e+02
29            	3.575983e+02
30            	3.595531e+02
31            	3.614940e+02
32            	3.634208e+02
33            	3.653336e+02
34            	3.672323e+02
35            	3.691170e+02
36            	3.709876e+02
37            	3.728444e+02
38            	3.746872e+02
39            	3.765163e+02
40            	3.783317e+02
41            	3.801336e+02
42            	3.819220e+02
43            	3.836970e+02
44            	3.854588e+02
45            	3.872076e+02
46            	3.889433e+02
47            	3.906663e+02
48            	3.923764e+02
49            	3.940738e+02
50            	3.957585e+02
51            	3.974307e+02
52            	3.990904e+02
53            	4.007379e+02
54            	4.023731e+02
55            	4.039962e+02
56            	4.056073e+02
57            	4.072065e+02
58            	4.087938e+02
59            	4.103694e+02
60            	4.119333e+02
61            	4.134857e+02
62            	4.150267e+02
63            	4.165563e+02
64            	4.180746e+02
65            	4.195817e+02
66            	4.210778e+02
67            	4.225628e+02
68            	4.240370e+02
69            	4.255003e+02
70            	4.269528e+02
71            	4.283946e+02
72            	4.298258e+02
73            	4.312465e+02
74            	4.326567e+02
75            	4.340565e+02
76            	4.354461e+02
77            	4.368255e+02
78            	4.381947e+02
79            	4.395539e+02
80            	4.409030e+02
81            	4.422423e+02
82            	4.435717e+02
83            	4.448913e+02
84            	4.462012e+02
85            	4.475015e+02
86            	4.487922e+02
87            	4.500734e+02
88            	4.513453e+02
89            	4.526078e+02
90            	4.538610e+02
91            	4.551051e+02
92            	4.563400e+02
93            	4.575659e+02
94            	4.587829e+02
95            	4.599909e+02
96            	4.611901e+02
97            	4.623804e+02
98            	4.635621e+02
99            	4.647351e+02
100           	4.658995e+02
101           	4.670553e+02
102           	4.682027e+02
103           	4.693416e+02
104           	4.704721e+02
105           	4.715944e+02
106           	4.727084e+02
107           	4.738143e+02
108           	4.749120e+02
109           	4.760016e+02
110           	4.770832e+02
111           	4.781569e+02
112           	4.792226e+02
113           	4.802804e+02
114           	4.813304e+02
115           	4.823727e+02
116           	4.834073e+02
117           	4.844342e+02
118           	4.854535e+02
119           	4.864653e+02
120           	4.874696e+02
121           	4.884664e+02
122           	4.894558e+02
