# Region type : patch heater_to_fins
# Faces  :    56
# Area   :    1.000000e-04
# Time        	areaAverage(T)
286           	5.523510e+02
287           	5.525523e+02
288           	5.527518e+02
289           	5.529495e+02
290           	5.531453e+02
291           	5.533395e+02
292           	5.535318e+02
293           	5.537225e+02
294           	5.539114e+02
295           	5.540986e+02
296           	5.542841e+02
297           	5.544680e+02
298           	5.546503e+02
299           	5.548309e+02
300           	5.550099e+02
301           	5.551873e+02
302           	5.553632e+02
303           	5.555375e+02
304           	5.557102e+02
305           	5.558814e+02
306           	5.560511e+02
307           	5.562193e+02
308           	5.563860e+02
309           	5.565512e+02
310           	5.567150e+02
311           	5.568773e+02
312           	5.570382e+02
313           	5.571976e+02
314           	5.573557e+02
315           	5.575123e+02
316           	5.576675e+02
317           	5.578213e+02
318           	5.579736e+02
319           	5.581247e+02
320           	5.582743e+02
321           	5.584226e+02
322           	5.585695e+02
323           	5.587151e+02
324           	5.588593e+02
325           	5.590022e+02
326           	5.591438e+02
327           	5.592841e+02
328           	5.594231e+02
329           	5.595609e+02
330           	5.596973e+02
331           	5.598325e+02
332           	5.599665e+02
333           	5.600992e+02
334           	5.602308e+02
335           	5.603611e+02
336           	5.604902e+02
337           	5.606181e+02
338           	5.607449e+02
339           	5.608705e+02
340           	5.609949e+02
341           	5.611183e+02
342           	5.612405e+02
343           	5.613616e+02
344           	5.614816e+02
345           	5.616005e+02
346           	5.617183e+02
347           	5.618351e+02
348           	5.619507e+02
349           	5.620654e+02
350           	5.621789e+02
351           	5.622914e+02
352           	5.624029e+02
353           	5.625133e+02
354           	5.626228e+02
355           	5.627312e+02
356           	5.628386e+02
357           	5.629450e+02
358           	5.630505e+02
359           	5.631550e+02
360           	5.632585e+02
361           	5.633610e+02
362           	5.634626e+02
363           	5.635633e+02
364           	5.636630e+02
365           	5.637618e+02
366           	5.638596e+02
367           	5.639566e+02
368           	5.640526e+02
369           	5.641477e+02
370           	5.642420e+02
371           	5.643353e+02
372           	5.644278e+02
373           	5.645195e+02
374           	5.646103e+02
375           	5.647002e+02
376           	5.647893e+02
377           	5.648776e+02
378           	5.649650e+02
379           	5.650516e+02
380           	5.651375e+02
381           	5.652225e+02
382           	5.653067e+02
383           	5.653902e+02
384           	5.654729e+02
385           	5.655548e+02
386           	5.656359e+02
387           	5.657163e+02
388           	5.657959e+02
389           	5.658748e+02
390           	5.659529e+02
391           	5.660303e+02
392           	5.661070e+02
393           	5.661830e+02
394           	5.662582e+02
395           	5.663328e+02
396           	5.664067e+02
397           	5.664798e+02
398           	5.665523e+02
399           	5.666241e+02
400           	5.666952e+02
401           	5.667657e+02
402           	5.668355e+02
403           	5.669047e+02
404           	5.669732e+02
405           	5.670411e+02
406           	5.671083e+02
407           	5.671749e+02
408           	5.672409e+02
409           	5.673063e+02
410           	5.673710e+02
411           	5.674352e+02
412           	5.674988e+02
413           	5.675618e+02
414           	5.676242e+02
415           	5.676860e+02
416           	5.677472e+02
417           	5.678079e+02
418           	5.678681e+02
419           	5.679276e+02
420           	5.679866e+02
421           	5.680451e+02
422           	5.681031e+02
423           	5.681605e+02
424           	5.682173e+02
425           	5.682737e+02
426           	5.683295e+02
