# Region type : patch heater_to_fins
# Faces  :    56
# Area   :    1.000000e-04
# Time        	areaAverage(T)
0             	2.969000e+02
1             	2.969000e+02
2             	2.991379e+02
3             	3.013775e+02
4             	3.036128e+02
5             	3.058420e+02
6             	3.080606e+02
7             	3.102667e+02
8             	3.124590e+02
9             	3.146369e+02
10            	3.168000e+02
11            	3.189482e+02
12            	3.210815e+02
13            	3.231999e+02
14            	3.253036e+02
15            	3.273925e+02
16            	3.294668e+02
17            	3.315267e+02
18            	3.335722e+02
19            	3.356035e+02
20            	3.376207e+02
21            	3.396239e+02
22            	3.416132e+02
23            	3.435889e+02
24            	3.455509e+02
25            	3.474994e+02
26            	3.494345e+02
27            	3.513562e+02
28            	3.532649e+02
29            	3.551604e+02
30            	3.570430e+02
31            	3.589126e+02
32            	3.607693e+02
33            	3.626129e+02
34            	3.644434e+02
35            	3.662606e+02
36            	3.680647e+02
37            	3.698556e+02
38            	3.716335e+02
39            	3.733984e+02
40            	3.751504e+02
41            	3.768897e+02
42            	3.786162e+02
43            	3.803302e+02
44            	3.820317e+02
45            	3.837207e+02
46            	3.853973e+02
47            	3.870615e+02
48            	3.887135e+02
49            	3.903533e+02
50            	3.919811e+02
51            	3.935970e+02
52            	3.952010e+02
53            	3.967933e+02
54            	3.983739e+02
55            	3.999430e+02
56            	4.015006e+02
57            	4.030468e+02
58            	4.045817e+02
59            	4.061053e+02
60            	4.076179e+02
61            	4.091194e+02
62            	4.106100e+02
63            	4.120897e+02
64            	4.135585e+02
65            	4.150167e+02
66            	4.164641e+02
67            	4.179010e+02
68            	4.193273e+02
69            	4.207433e+02
70            	4.221490e+02
71            	4.235444e+02
72            	4.249296e+02
73            	4.263047e+02
74            	4.276697e+02
75            	4.290247e+02
76            	4.303698e+02
77            	4.317050e+02
78            	4.330305e+02
79            	4.343463e+02
80            	4.356524e+02
81            	4.369491e+02
82            	4.382362e+02
83            	4.395140e+02
84            	4.407825e+02
85            	4.420418e+02
86            	4.432920e+02
87            	4.445330e+02
88            	4.457649e+02
89            	4.469878e+02
90            	4.482018e+02
91            	4.494068e+02
92            	4.506030e+02
93            	4.517905e+02
94            	4.529693e+02
95            	4.541394e+02
96            	4.553009e+02
97            	4.564538e+02
98            	4.575983e+02
99            	4.587344e+02
100           	4.598620e+02
101           	4.609814e+02
102           	4.620926e+02
103           	4.631956e+02
104           	4.642905e+02
105           	4.653774e+02
106           	4.664563e+02
107           	4.675272e+02
108           	4.685903e+02
109           	4.696457e+02
110           	4.706933e+02
111           	4.717332e+02
112           	4.727655e+02
113           	4.737902e+02
114           	4.748074e+02
115           	4.758171e+02
116           	4.768194e+02
117           	4.778144e+02
118           	4.788019e+02
119           	4.797821e+02
120           	4.807551e+02
121           	4.817207e+02
122           	4.826792e+02
