# Region type : patch heater_to_fins
# Faces  :    61
# Area   :    1.000000e-04
# Time        	areaAverage(T)
0             	2.969000e+02
1             	2.969000e+02
2             	2.992052e+02
3             	3.014927e+02
4             	3.037752e+02
5             	3.060557e+02
6             	3.083266e+02
7             	3.105850e+02
8             	3.128293e+02
9             	3.150586e+02
10            	3.172728e+02
11            	3.194714e+02
12            	3.216547e+02
13            	3.238227e+02
14            	3.259756e+02
15            	3.281134e+02
16            	3.302365e+02
17            	3.323449e+02
18            	3.344389e+02
19            	3.365185e+02
20            	3.385840e+02
21            	3.406354e+02
22            	3.426730e+02
23            	3.446967e+02
24            	3.467068e+02
25            	3.487034e+02
26            	3.506866e+02
27            	3.526566e+02
28            	3.546134e+02
29            	3.565567e+02
30            	3.584863e+02
31            	3.604017e+02
32            	3.623027e+02
33            	3.641891e+02
34            	3.660607e+02
35            	3.679173e+02
36            	3.697590e+02
37            	3.715857e+02
38            	3.733975e+02
39            	3.751944e+02
40            	3.769765e+02
41            	3.787438e+02
42            	3.804965e+02
43            	3.822347e+02
44            	3.839585e+02
45            	3.856681e+02
46            	3.873636e+02
47            	3.890450e+02
48            	3.907123e+02
49            	3.923657e+02
50            	3.940052e+02
51            	3.956310e+02
52            	3.972431e+02
53            	3.988417e+02
54            	4.004269e+02
55            	4.019988e+02
56            	4.035576e+02
57            	4.051034e+02
58            	4.066364e+02
59            	4.081566e+02
60            	4.096643e+02
61            	4.111594e+02
62            	4.126422e+02
63            	4.141126e+02
64            	4.155709e+02
65            	4.170169e+02
66            	4.184509e+02
67            	4.198729e+02
68            	4.212830e+02
69            	4.226815e+02
70            	4.240683e+02
71            	4.254436e+02
72            	4.268074e+02
73            	4.281599e+02
74            	4.295010e+02
75            	4.308310e+02
76            	4.321499e+02
77            	4.334578e+02
78            	4.347547e+02
79            	4.360407e+02
80            	4.373160e+02
81            	4.385805e+02
82            	4.398345e+02
83            	4.410779e+02
84            	4.423108e+02
85            	4.435334e+02
86            	4.447456e+02
87            	4.459476e+02
88            	4.471394e+02
89            	4.483212e+02
90            	4.494930e+02
91            	4.506549e+02
92            	4.518069e+02
93            	4.529493e+02
94            	4.540820e+02
95            	4.552051e+02
96            	4.563187e+02
97            	4.574229e+02
98            	4.585177e+02
99            	4.596033e+02
100           	4.606797e+02
101           	4.617471e+02
102           	4.628053e+02
103           	4.638546e+02
104           	4.648950e+02
105           	4.659265e+02
106           	4.669491e+02
107           	4.679630e+02
108           	4.689681e+02
109           	4.699645e+02
110           	4.709523e+02
111           	4.719316e+02
112           	4.729025e+02
113           	4.738649e+02
114           	4.748190e+02
115           	4.757649e+02
116           	4.767025e+02
117           	4.776320e+02
118           	4.785533e+02
119           	4.794667e+02
120           	4.803720e+02
121           	4.812695e+02
122           	4.821591e+02
