# Region type : patch heater_to_fins
# Faces  :    56
# Area   :    1.000000e-04
# Time        	areaAverage(T)
0             	2.969000e+02
1             	2.969000e+02
2             	2.991511e+02
3             	3.014033e+02
4             	3.036577e+02
5             	3.059086e+02
6             	3.081505e+02
7             	3.103806e+02
8             	3.125972e+02
9             	3.147995e+02
10            	3.169870e+02
11            	3.191595e+02
12            	3.213168e+02
13            	3.234591e+02
14            	3.255862e+02
15            	3.276984e+02
16            	3.297958e+02
17            	3.318784e+02
18            	3.339464e+02
19            	3.360000e+02
20            	3.380392e+02
21            	3.400642e+02
22            	3.420751e+02
23            	3.440721e+02
24            	3.460552e+02
25            	3.480246e+02
26            	3.499804e+02
27            	3.519227e+02
28            	3.538516e+02
29            	3.557671e+02
30            	3.576694e+02
31            	3.595585e+02
32            	3.614345e+02
33            	3.632974e+02
34            	3.651473e+02
35            	3.669842e+02
36            	3.688081e+02
37            	3.706191e+02
38            	3.724173e+02
39            	3.742027e+02
40            	3.759755e+02
41            	3.777356e+02
42            	3.794831e+02
43            	3.812181e+02
44            	3.829408e+02
45            	3.846512e+02
46            	3.863494e+02
47            	3.880355e+02
48            	3.897096e+02
49            	3.913716e+02
50            	3.930218e+02
51            	3.946602e+02
52            	3.962869e+02
53            	3.979021e+02
54            	3.995057e+02
55            	4.010979e+02
56            	4.026788e+02
57            	4.042484e+02
58            	4.058069e+02
59            	4.073544e+02
60            	4.088908e+02
61            	4.104164e+02
62            	4.119311e+02
63            	4.134351e+02
64            	4.149284e+02
65            	4.164111e+02
66            	4.178833e+02
67            	4.193451e+02
68            	4.207964e+02
69            	4.222375e+02
70            	4.236683e+02
71            	4.250889e+02
72            	4.264994e+02
73            	4.279000e+02
74            	4.292906e+02
75            	4.306713e+02
76            	4.320422e+02
77            	4.334034e+02
78            	4.347550e+02
79            	4.360970e+02
80            	4.374295e+02
81            	4.387526e+02
82            	4.400662e+02
83            	4.413706e+02
84            	4.426657e+02
85            	4.439516e+02
86            	4.452284e+02
87            	4.464961e+02
88            	4.477549e+02
89            	4.490046e+02
90            	4.502455e+02
91            	4.514776e+02
92            	4.527010e+02
93            	4.539156e+02
94            	4.551217e+02
95            	4.563191e+02
96            	4.575080e+02
97            	4.586885e+02
98            	4.598606e+02
99            	4.610243e+02
100           	4.621797e+02
101           	4.633269e+02
102           	4.644659e+02
103           	4.655968e+02
104           	4.667196e+02
105           	4.678344e+02
106           	4.689413e+02
107           	4.700402e+02
108           	4.711313e+02
109           	4.722146e+02
110           	4.732901e+02
111           	4.743578e+02
112           	4.754179e+02
113           	4.764703e+02
114           	4.775152e+02
115           	4.785524e+02
116           	4.795822e+02
117           	4.806045e+02
118           	4.816193e+02
119           	4.826269e+02
120           	4.836271e+02
121           	4.846201e+02
122           	4.856059e+02
