# Region type : patch heater_to_fins
# Faces  :    56
# Area   :    1.000000e-04
# Time        	areaAverage(T)
0             	2.969000e+02
1             	2.969000e+02
2             	2.993052e+02
3             	3.016491e+02
4             	3.040113e+02
5             	3.063732e+02
6             	3.087263e+02
7             	3.110664e+02
8             	3.133915e+02
9             	3.157003e+02
10            	3.179923e+02
11            	3.202673e+02
12            	3.225253e+02
13            	3.247664e+02
14            	3.269909e+02
15            	3.291989e+02
16            	3.313906e+02
17            	3.335664e+02
18            	3.357263e+02
19            	3.378706e+02
20            	3.399995e+02
21            	3.421133e+02
22            	3.442121e+02
23            	3.462961e+02
24            	3.483652e+02
25            	3.504196e+02
26            	3.524593e+02
27            	3.544844e+02
28            	3.564950e+02
29            	3.584906e+02
30            	3.604708e+02
31            	3.624353e+02
32            	3.643837e+02
33            	3.663157e+02
34            	3.682312e+02
35            	3.701299e+02
36            	3.720120e+02
37            	3.738774e+02
38            	3.757261e+02
39            	3.775581e+02
40            	3.793735e+02
41            	3.811725e+02
42            	3.829552e+02
43            	3.847217e+02
44            	3.864723e+02
45            	3.882070e+02
46            	3.899259e+02
47            	3.916290e+02
48            	3.933165e+02
49            	3.949886e+02
50            	3.966454e+02
51            	3.982870e+02
52            	3.999135e+02
53            	4.015252e+02
54            	4.031221e+02
55            	4.047044e+02
56            	4.062722e+02
57            	4.078257e+02
58            	4.093650e+02
59            	4.108902e+02
60            	4.124015e+02
61            	4.138991e+02
62            	4.153830e+02
63            	4.168533e+02
64            	4.183102e+02
65            	4.197538e+02
66            	4.211841e+02
67            	4.226013e+02
68            	4.240055e+02
69            	4.253967e+02
70            	4.267752e+02
71            	4.281410e+02
72            	4.294941e+02
73            	4.308349e+02
74            	4.321632e+02
75            	4.334793e+02
76            	4.347831e+02
77            	4.360749e+02
78            	4.373546e+02
79            	4.386225e+02
80            	4.398786e+02
81            	4.411230e+02
82            	4.423558e+02
83            	4.435770e+02
84            	4.447869e+02
85            	4.459855e+02
86            	4.471728e+02
87            	4.483490e+02
88            	4.495141e+02
89            	4.506683e+02
90            	4.518116e+02
91            	4.529442e+02
92            	4.540663e+02
93            	4.551777e+02
94            	4.562788e+02
95            	4.573694e+02
96            	4.584498e+02
97            	4.595199e+02
98            	4.605799e+02
99            	4.616300e+02
100           	4.626701e+02
101           	4.637004e+02
102           	4.647209e+02
103           	4.657319e+02
104           	4.667333e+02
105           	4.677253e+02
106           	4.687080e+02
107           	4.696814e+02
108           	4.706457e+02
109           	4.716009e+02
110           	4.725472e+02
111           	4.734845e+02
112           	4.744130e+02
113           	4.753328e+02
114           	4.762439e+02
115           	4.771465e+02
116           	4.780405e+02
117           	4.789262e+02
118           	4.798036e+02
119           	4.806727e+02
120           	4.815337e+02
121           	4.823866e+02
122           	4.832315e+02
